Anio,Mes,CodigoPais,PaisDestino,LongitudPais,LatitudPais,CodigoDepto,DepartamentoOrigen,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2010,Agosto,218,"Taiwán, Provincia de China",1210000000000,-240000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0303800000 - Hígados, huevas y lechas congelados.",Acuicultura,Pescado congelado,KG,0.25,0,0.45,0
2018,Septiembre,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,268,2.19,6560.61,0.27
2018,Septiembre,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,273,2.29,7013.78,0.27
2018,Septiembre,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,39459.3,269.07,820780.9,39.46
2018,Septiembre,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,2210.7,17.06,51189.7,2.21
2018,Septiembre,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0302290000 - Los demás pescados planos, excepto hígados, huevas y lechas, frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,300,1.65,5094.75,0.3
2018,Septiembre,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,2727.86,19.2,58934.21,2.73
2018,Septiembre,589,Perú,-752500000000,-100000000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,2515,21.73,66142.79,2.52
2018,Septiembre,87,Bélgica,45000000000,507500000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,70414,401.16,1229911.59,70.41
2018,Septiembre,245,España,-40000000000,400000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,135501,855.93,2596371.12,135.5
