Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolúmenToneladas
2018,Septiembre,80,Bahrein,25,Cundinamarca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,400,2.42,7388.6,0.4
2018,Septiembre,149,Canadá,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,2455.2,0.65,1963.21,2.46
2018,Septiembre,200,Curazao,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,714,1.7,5156.2,0.71
2018,Septiembre,215,China,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,30,0.01,18.33,0.03
2018,Septiembre,580,Panamá,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,8600,12.9,39604.93,8.6
2018,Septiembre,767,Suiza,25,Cundinamarca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,72,0.03,80.77,0.07
2018,Septiembre,27,Aruba,25,Cundinamarca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,5450,10.91,32869.26,5.45
2018,Septiembre,87,Bélgica,66,Risaralda,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,24000,37.31,112179.78,24
2018,Septiembre,573,Paises Bajos,5,Antioquia,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,199392,320.97,977272.85,199.39
2018,Septiembre,573,Países Bajos,47,Magdalena,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,6421,17.7,53563.35,6.42
2018,Septiembre,573,Países Bajos,66,Risaralda,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,22752,56.09,173239.85,22.75
2018,Septiembre,628,Reino Unido,5,Antioquia,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,118400,177.81,540157.78,118.4
2018,Septiembre,628,Reino Unido,66,Risaralda,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,24000,38.21,118007.26,24
2018,Septiembre,245,España,76,Valle del Cauca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,68976,123.67,370309.68,68.98
2018,Septiembre,351,Hong Kong,76,Valle del Cauca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,23520,67.94,210626.74,23.52
2018,Septiembre,245,España,5,Antioquia,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,149402,280.56,845997.72,149.4
2018,Septiembre,87,Bélgica,66,Risaralda,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,43120,65.42,196816.46,43.12
2018,Septiembre,245,España,25,Cundinamarca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,42508,70.51,214703.48,42.51
2018,Septiembre,249,Estados Unidos,68,Santander,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,37632,42.4,127759.87,37.63
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,54240,105.6,326335.33,54.24
2018,Septiembre,573,Países Bajos,5,Antioquia,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,611360,1006.31,3046071.98,611.36
2018,Septiembre,573,Países Bajos,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,78725,155.4,473989.51,78.72
2018,Septiembre,573,Países Bajos,17,Caldas,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,23760,37.76,117069.91,23.76
2018,Septiembre,573,Países Bajos,66,Risaralda,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,24000,63.36,195685.46,24
2018,Septiembre,628,Reino Unido,5,Antioquia,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,24000,36.24,109665.35,24
2018,Septiembre,27,Aruba,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,200,0.38,1143.86,0.2
2018,Agosto,23,Alemania,25,Cundinamarca,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,3504.5,15.59,46022.48,3.5
2018,Agosto,149,Canadá,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,173.05,0.34,1011.13,0.17
2018,Agosto,200,Curazao,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,658,1.42,4181.7,0.66
2018,Agosto,386,Italia,11,Bogotá,0804400000 - Aguacates (paltas)- frescos o secos.,Aguacate y su Industria,Aguacates,KG,30,0.08,237.65,0.03
