Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,580,Panamá,11,Bogotá,1006200000 - Arroz descascarillado (arroz cargo o arroz pardo).,Productiva del arroz,Arroz,KG,102.1,0.61,1837.72,0.1
2018,Junio,850,Venezuela,54,Norte de Santander,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,238000,307.02,878009.66,238
2018,Mayo,211,Chile,76,Valle del Cauca,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,300,0.28,790.51,0.3
2018,Mayo,850,Venezuela,54,Norte de Santander,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,300000,387,1092907.35,300
2018,Abril,850,Venezuela,8,Atlántico,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,40000,26,70346.64,40
2018,Abril,200,Curazao,11,Bogotá,1006200000 - Arroz descascarillado (arroz cargo o arroz pardo).,Productiva del arroz,Arroz,KG,600,0.7,1913.9,0.6
2018,Abril,850,Venezuela,54,Norte de Santander,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,300000,387,1067330.52,300
2018,Marzo,149,Canadá,11,Bogotá,"1006101000 - Arroz con cáscara (arroz ""paddy"")- para la siembra.",Productiva del arroz,Arroz,KG,1000,1.3,3703.71,1
2018,Marzo,850,Venezuela,8,Atlántico,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,42000,27.3,78479.45,42
2018,Marzo,27,Aruba,13,Bolívar,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,6250,4.7,13532.29,6.25
2018,Marzo,850,Venezuela,8,Atlántico,1006300010 - Arroz semiblanqueado o blanqueado- incluso pulido o glaseado de grano corto o mediano (largo inferior a 6 mm y espesor inferior a 2-5 mm),Productiva del arroz,Arroz,KG,395420,257.02,733152.97,395.42
2018,Marzo,850,Venezuela,54,Norte de Santander,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,90000,99,282772.71,90
2018,Enero,850,Venezuela,11,Bogotá,1006300010 - Arroz semiblanqueado o blanqueado- incluso pulido o glaseado de grano corto o mediano (largo inferior a 6 mm y espesor inferior a 2-5 mm),Productiva del arroz,Arroz,KG,54080,57.11,163382.1,54.08
2018,Enero,27,Aruba,13,Bolívar,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,3550,2.7,7705.11,3.55
2017,Octubre,27,Aruba,13,Bolívar,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,1500,1.08,3170.51,1.5
2017,Octubre,913,ZFP Palmaseca,13,Bolívar,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,206108,140.69,414832.38,206.11
2017,Octubre,913,ZFP Palmaseca,68,Santander,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,887136,605,1778629.23,887.14
2017,Septiembre,850,Venezuela,44,La Guajira,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,104400,79.34,230760.65,104.4
2017,Septiembre,27,Aruba,13,Bolívar,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,2500,1.8,5237.14,2.5
2017,Agosto,27,Aruba,47,Magdalena,1006300090 - Los demás arroces semiblanqueados o blanqueados- incluso pulido o glaseado.,Productiva del arroz,Arroz,KG,17,0.05,149.72,0.02
