Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,80,Bahrein,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,246,1.67,5084.88,0.25
2018,Septiembre,87,Bélgica,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,76.8,0.1,313.15,0.08
2018,Septiembre,149,Canadá,11,Bogotá,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",Banano,Bananos o plátanos,KG,997,3.3,10131.5,1
2018,Septiembre,245,España,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,814,2.31,7134.37,0.81
2018,Septiembre,245,España,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,1161,2.69,8205.19,1.16
2018,Septiembre,249,Estados Unidos,11,Bogotá,0803902000 - Los demás bananos secos,Banano,Bananos o plátanos,KG,3,2.95,9108.8,0
2018,Septiembre,275,Francia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,2210,5.89,17982.99,2.21
2018,Septiembre,275,Francia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,24135,65.42,196801.07,24.14
2018,Septiembre,386,Italia,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,Banano,Bananos o plátanos,KG,162,0.42,1254.84,0.16
2018,Septiembre,386,Italia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,288,0.73,2228.94,0.29
2018,Septiembre,386,Italia,73,Tolima,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,Banano,Bananos o plátanos,KG,750,1.8,5447.12,0.75
