Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,23,Alemania,11,Bogotá,1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.,Cacao y su Industria,Chocolates,KG,2,0.03,77.35,0
2018,Septiembre,169,Colombia,11,Bogotá,"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao- en bloques- tabletas o barras- """"rellenos"""".""",Cacao y su Industria,Chocolates,KG,1331.07,29.62,89953.21,1.33
2018,Septiembre,169,Colombia,11,Bogotá,1806320090 - Los demás chocolates y demás preparaciones alimenticas que contengan cacao- en bloques- tabletas o barras- sin rellenar.,Cacao y su Industria,Chocolates,KG,342.37,8.29,25039.26,0.34
2018,Septiembre,169,Colombia,11,Bogotá,1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.,Cacao y su Industria,Chocolates,KG,586.93,6.55,19783.71,0.59
2018,Septiembre,169,Colombia,19,Cauca,1806320090 - Los demás chocolates y demás preparaciones alimenticas que contengan cacao- en bloques- tabletas o barras- sin rellenar.,Cacao y su Industria,Chocolates,KG,9,1.55,4795.9,0.01
2018,Septiembre,169,Colombia,25,Cundinamarca,"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao- en bloques- tabletas o barras- """"rellenos"""".""",Cacao y su Industria,Chocolates,KG,32.74,0.65,1997.01,0.03
2018,Septiembre,169,Colombia,25,Cundinamarca,1806320090 - Los demás chocolates y demás preparaciones alimenticas que contengan cacao- en bloques- tabletas o barras- sin rellenar.,Cacao y su Industria,Chocolates,KG,0.66,0.16,479.68,0
2018,Septiembre,190,Corea,11,Bogotá,1801001900 - Los demás cacaos crudos en grano- entero o partido.,Cacao y su Industria,Cacao,KG,500,2.9,8723.74,0.5
2018,Septiembre,23,Alemania,11,Bogotá,1803100000 - Pasta de cacao sin desgrasar.,Cacao y su Industria,Cacao,KG,1000,5.39,16540.31,1
2018,Septiembre,23,Alemania,11,Bogotá,1804001200 - Manteca de cacao- con un índice de acidez expresado en ácido oleico superior a 1% peroinferior o igual a 1.65%.,Cacao y su Industria,Cacao,KG,1000,7.6,23327.95,1
2018,Septiembre,23,Alemania,11,Bogotá,1805000000 - Cacao en polvo sin adición de azúcar ni otro edulcorante.,Cacao y su Industria,Cacao,KG,504,2.39,7328.05,0.5
