Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolúmenToneladas
2018,Septiembre,351,Hong Kong,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentacion de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,2060,27.41,83118.19,2.06
2018,Septiembre,580,Panamá,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,116.58,4.52,13802.39,0.12
2018,Septiembre,850,Venezuela,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,1667,11,33286.55,1.67
2018,Septiembre,27,Aruba,25,Cundinamarca,1104230000 - Granos trabajados (por ejemplo: mondados- perlados- troceados o quebrantados)- de maiz.,Maiz,Maíz,KG,13700,18.65,57828.13,13.7
2018,Septiembre,97,Bolivia,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,47875,65.48,199332.08,47.88
2018,Septiembre,149,Canadá,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,19220,19.32,59010.88,19.22
2018,Septiembre,196,Costa Rica,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,260712,257,779261.11,260.71
2018,Septiembre,211,Chile,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,51000,71.91,216235.53,51
2018,Septiembre,211,Chile,25,Cundinamarca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,19.8,60788.97,22
2018,Septiembre,211,Chile,76,Valle del Cauca,1005901200 - Maíz duro blanco.,Maiz,Maíz,KG,2918,1.45,4372.16,2.92
2018,Septiembre,211,Chile,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,80000,80.4,248288.47,80
2018,Septiembre,211,Chile,76,Valle del Cauca,2005800000 - Maíz dulce (zea mays var. saccharata) preparado o conservado (excepto en vinagre o en ácido acético)- sin congelar.,Maiz,Maíz dulce,KG,2300,9,27120.42,2.3
2018,Septiembre,239,Ecuador,11,Bogotá,1103130000 - Grañones y sémola de maíz.,Maiz,Sémolas,KG,104000,51.44,154691.55,104
2018,Septiembre,239,Ecuador,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,242000,196.02,605256.83,242
2018,Septiembre,239,Ecuador,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,685600,259.65,798149.52,685.6
2018,Septiembre,245,España,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,21340,16.49,50377.11,21.34
2018,Septiembre,337,Guyana,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,26000,17.63,54653.32,26
2018,Septiembre,365,Indonesia,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,25000,22.7,69348.73,25
2018,Septiembre,365,Indonesia,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,125000,49.13,149538.27,125
2018,Septiembre,580,Panamá,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,18575,103.33,311358.24,18.57
2018,Septiembre,580,Panamá,76,Valle del Cauca,1005100000 - Maíz para la siembra.,Maiz,Maíz,KG,29623.05,129.19,399014.88,29.62
2018,Septiembre,580,Panamá,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,233158,218.31,666108.74,233.16
2018,Septiembre,589,Perú,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,16000,33.28,100073.96,16
2018,Septiembre,589,Perú,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,26000,39.17,119658.63,26
2018,Septiembre,589,Perú,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,145250,212.83,644435.84,145.25
2018,Septiembre,589,Perú,76,Valle del Cauca,1005100000 - Maíz para la siembra.,Maiz,Maíz,KG,19698,79.49,245581.97,19.7
2018,Septiembre,589,Perú,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,26400,10.64,33001.83,26.4
2018,Septiembre,647,República Dominicana,76,Valle del Cauca,1005100000 - Maíz para la siembra.,Maiz,Maíz,KG,10000,27.16,84190.55,10
2018,Septiembre,776,Tailandia,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,75000,21.52,65759.09,75
2018,Septiembre,855,Vietnam,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,50000,40.9,124949.91,50
2018,Septiembre,855,Vietnam,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,15000,5.38,16451.23,15
2018,Septiembre,239,Ecuador,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,171323,303.58,919178.56,171.32
2018,Septiembre,239,Ecuador,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,2000,3.82,11472.72,2
2018,Septiembre,239,Ecuador,11,Bogotá,1103130000 - Grañones y sémola de maíz.,Maiz,Sémolas,KG,78000,38.58,116829.32,78
2018,Septiembre,239,Ecuador,25,Cundinamarca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,23996,19.92,60808.41,24
2018,Septiembre,239,Ecuador,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,150100,357.02,1075231.71,150.1
2018,Septiembre,239,Ecuador,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,27456,28.96,87092.61,27.46
2018,Septiembre,239,Ecuador,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,356150,170.4,520267.2,356.15
2018,Septiembre,239,Ecuador,76,Valle del Cauca,1515210000 - Aceite de maíz en bruto.,Maiz,Aceite de maíz,KG,29690,40.08,122449.38,29.69
2018,Septiembre,239,Ecuador,76,Valle del Cauca,1515290000 - Los demás aceites de maíz y sus fracciones- incluso refinados- pero sin modificar químicamente.,Maiz,Aceite de maíz,KG,6977,13.54,41825.17,6.98
2018,Septiembre,239,Ecuador,76,Valle del Cauca,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,72500,71.3,213615.27,72.5
2018,Septiembre,27,Aruba,5,Antioquia,1102200000 - Harina de maíz.,Maiz,Harinas,KG,516,1.02,3072.12,0.52
2018,Septiembre,27,Aruba,13,Bolívar,1102200000 - Harina de maíz.,Maiz,Harinas,KG,44000,35.64,107168.05,44
2018,Septiembre,27,Aruba,66,Risaralda,1102200000 - Harina de maíz.,Maiz,Harinas,KG,6000,7.45,22503.83,6
2018,Septiembre,63,Argentina,76,Valle del Cauca,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,4240,3.8,11369.22,4.24
2018,Septiembre,200,Curazao,13,Bolívar,1102200000 - Harina de maíz.,Maiz,Harinas,KG,131280,128.65,390886.47,131.28
