Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,27,Aruba,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,3,0.01,38.57,0
2018,Septiembre,80,Bahrein,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,1952,16.43,50171.64,1.95
2018,Septiembre,149,Canadá,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,3470.75,16.79,51231.69,3.47
2018,Septiembre,149,Canadá,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,19226,79.16,238344.52,19.23
2018,Septiembre,149,Canadá,50,Meta,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,21555,70.79,214336.14,21.55
2018,Septiembre,244,Emiratos Árabes Unidos,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,352,2.65,8083.25,0.35
2018,Septiembre,245,España,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,1191,5.78,17507.64,1.19
2018,Septiembre,245,España,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,1510,10.22,31214.17,1.51
2018,Septiembre,245,España,73,Tolima,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,247.5,1.11,3356.51,0.25
2018,Septiembre,249,Estados Unidos,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,2.4,2.95,9108.8,0
2018,Septiembre,275,Francia,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,18242,112.02,341703.22,18.24
2018,Septiembre,275,Francia,50,Meta,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,1500,5.25,15822.34,1.5
2018,Septiembre,351,Hong Kong,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,3062,24.14,72222.97,3.06
2018,Septiembre,386,Italia,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,182,2.3,6932.22,0.18
2018,Septiembre,386,Italia,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,30,0.15,471.45,0.03
2018,Septiembre,413,Kuwait,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,150,0.8,2442.51,0.15
2018,Septiembre,573,Países Bajos,5,Antioquia,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,2,0,3.45,0
2018,Septiembre,573,Países Bajos,11,Bogotá,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,603,2.61,8070.17,0.6
2018,Septiembre,573,Países Bajos,73,Tolima,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,816,6.12,18403.02,0.82
2018,Septiembre,607,Portugal,5,Antioquia,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,8,0.06,172.36,0.01
2018,Septiembre,767,Suiza,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,54,0.24,711.43,0.05
2018,Septiembre,27,Aruba,25,Cundinamarca,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,2700,3.9,11752.18,2.7
2018,Septiembre,69,Australia,76,Valle del Cauca,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,58920,58.99,179188.79,58.92
2018,Septiembre,149,Canadá,76,Valle del Cauca,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,18400,21.71,65540.49,18.4
2018,Septiembre,245,España,17,Caldas,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,1551,3.59,10805.45,1.55
2018,Septiembre,245,España,66,Risaralda,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,2160,3.64,10956.65,2.16
2018,Septiembre,249,Estados Unidos,66,Risaralda,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,8213.14,13.45,41329,8.21
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,129665.6,158.05,489858.44,129.67
2018,Septiembre,239,Ecuador,17,Caldas,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,26400,24.02,72501.46,26.4
2018,Septiembre,23,Alemania,17,Caldas,2009894000 - Jugo de mango sin fermentar y sin adición de alcohol- incluso con adición de azúcar u otro edulcorante.,Mango,Jugo de mango,L,23520,15.81,47710.05,23.52
2018,Septiembre,87,Bélgica,5,Antioquia,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,4840,9.41,28306.92,4.84
2018,Septiembre,149,Canadá,5,Antioquia,2008993000 - Mangos preparados o conservados de otra forma- incluso con adición de azúcar  u otro edulcorante o alcohol.,Mango,Mangos,KG,3090.4,5.01,15293.06,3.09
2018,Septiembre,149,Canadá,73,Tolima,0804502000 - Mangos y mangostanes frescos o secos.,Mango,Mangos,KG,296.2,5.03,15546.62,0.3
