Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolúmenToneladas
2018,Septiembre,27,Aruba,11,Bogotá,0701900000 - Las demás papas (patatas)- frescas o refrigeradas.,Papa,Papas,KG,157.5,0.74,2283.79,0.16
2018,Septiembre,169,Colombia,11,Bogotá,2005200000 - Papas (patatas)- preparadas o conservadas (excepto en vinagre o en ácido acético)- sin congelar.,Papa,Papas,KG,28.23,0.58,1755.57,0.03
2018,Septiembre,200,Curazao,11,Bogotá,0701900000 - Las demás papas (patatas)- frescas o refrigeradas.,Papa,Papas,KG,100,0.13,401.13,0.1
2018,Septiembre,580,Panamá,11,Bogotá,0701900000 - Las demás papas (patatas)- frescas o refrigeradas.,Papa,Papas,KG,2190,2.83,8683.44,2.19
2018,Septiembre,27,Aruba,25,Cundinamarca,0701900000 - Las demás papas (patatas)- frescas o refrigeradas.,Papa,Papas,KG,950,2.78,8607.19,0.95
2018,Septiembre,211,Chile,11,Bogotá,2005200000 - Papas (patatas)- preparadas o conservadas (excepto en vinagre o en ácido acético)- sin congelar.,Papa,Papas,KG,1224,4.88,14908.45,1.22
2018,Septiembre,211,Chile,76,Valle del Cauca,2005200000 - Papas (patatas)- preparadas o conservadas (excepto en vinagre o en ácido acético)- sin congelar.,Papa,Papas,KG,507.2,2.55,7875.6,0.51
2018,Septiembre,245,España,17,Caldas,0701900000 - Las demás papas (patatas)- frescas o refrigeradas.,Papa,Papas,KG,876,2.21,6653.65,0.88
2018,Septiembre,245,España,17,Caldas,2004100000 - Papas (patatas) preparadas o conservadas (excepto en vinagre o en ácido acético)- congeladas.,Papa,Papas,KG,2.3,0,5.27,0
2018,Septiembre,245,España,66,Risaralda,0710100000 - Papas (patatas) aunque estén cocidas en agua o vapor- congeladas.,Papa,Papas,KG,2764.8,8.06,24299.9,2.76
2018,Septiembre,249,Estados Unidos,66,Risaralda,0710100000 - Papas (patatas) aunque estén cocidas en agua o vapor- congeladas.,Papa,Papas,KG,1607.16,3.93,11991.22,1.61
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,0710100000 - Papas (patatas) aunque estén cocidas en agua o vapor- congeladas.,Papa,Papas,KG,13216,32.58,99520.49,13.22
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,2005200000 - Papas (patatas)- preparadas o conservadas (excepto en vinagre o en ácido acético)- sin congelar.,Papa,Papas,KG,166,1.57,4725.22,0.17
2018,Septiembre,580,Panamá,5,Antioquia,2005200000 - Papas (patatas)- preparadas o conservadas (excepto en vinagre o en ácido acético)- sin congelar.,Papa,Papas,KG,8634.22,54.3,163837.79,8.63
2018,Septiembre,149,Canadá,5,Antioquia,0710100000 - Papas (patatas) aunque estén cocidas en agua o vapor- congeladas.,Papa,Papas,KG,489.24,1.31,4011.83,0.49
2018,Septiembre,149,Canadá,11,Bogotá,2005200000 - Papas (patatas)- preparadas o conservadas (excepto en vinagre o en ácido acético)- sin congelar.,Papa,Papas,KG,356,1.58,4754.11,0.36
