Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,245,España,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,7287.75,7.95,24394.86,7.29
2018,Septiembre,245,España,63,Quindío,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,9456,5,15265.09,9.46
2018,Septiembre,245,España,73,Tolima,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,3318,2.98,9212.8,3.32
2018,Septiembre,245,España,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,1422,1.55,4647.85,1.42
2018,Septiembre,249,Estados Unidos,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,2.4,2.95,9108.8,0
2018,Septiembre,275,Francia,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,6480,4.86,14629.84,6.48
2018,Septiembre,386,Italia,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,182,2.32,6981.58,0.18
2018,Septiembre,628,Reino Unido,66,Risaralda,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,1225,12.74,38308.67,1.23
2018,Septiembre,767,Suiza,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,8887.5,10.52,32189.97,8.89
2018,Septiembre,27,Aruba,25,Cundinamarca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,4012,8.01,24150.23,4.01
2018,Septiembre,211,Chile,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,476020,188.06,581752.49,476.02
2018,Septiembre,245,España,17,Caldas,2008209000 - Las demás piñas tropicales (ananas) preparadas o conservadas de otro modo.,Piña,Piñas,KG,102,0.23,704.53,0.1
2018,Septiembre,245,España,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,152720,64.31,192503.86,152.72
2018,Septiembre,249,Estados Unidos,66,Risaralda,2008209000 - Las demás piñas tropicales (ananas) preparadas o conservadas de otro modo.,Piña,Piñas,KG,1419.67,2.7,8350.9,1.42
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,2008209000 - Las demás piñas tropicales (ananas) preparadas o conservadas de otro modo.,Piña,Piñas,KG,7369.6,14.46,43592.3,7.37
2018,Septiembre,386,Italia,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,19090,9.63,29850.36,19.09
2018,Septiembre,676,Rusia- Federación de,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,23240,30.04,92047.73,59.76
2018,Septiembre,827,Turquía,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,199200,53.3,160191.61,199.2
2018,Septiembre,386,Italia,5,Antioquia,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,20160,7.07,21594.25,20.16
2018,Septiembre,386,Italia,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,76360,42.64,130101.95,76.36
2018,Septiembre,628,Reino Unido,5,Antioquia,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,161280,60.27,186851.18,161.28
2018,Septiembre,827,Turquía,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,39840,10.62,31946.69,39.84
2018,Septiembre,149,Canadá,5,Antioquia,2008201000 - Piñas tropicales (ananas)- en agua con adición de azúcar u otro edulcorante- incluido el jarabe- preparadas o conservadas de otro modo.,Piña,Piñas,KG,1111.2,2.41,7343.41,1.11
2018,Septiembre,149,Canadá,73,Tolima,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,100.8,1.92,5915.04,0.1
2018,Septiembre,249,Estados Unidos,5,Antioquia,2008201000 - Piñas tropicales (ananas)- en agua con adición de azúcar u otro edulcorante- incluido el jarabe- preparadas o conservadas de otro modo.,Piña,Piñas,KG,10603.2,22.8,69282.66,10.6
2018,Septiembre,249,Estados Unidos,17,Caldas,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,14682.36,154.77,465387.2,14.68
2018,Septiembre,275,Francia,73,Tolima,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,365.6,6.76,20337.87,0.37
2018,Septiembre,764,Suecia,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,179.16,3.19,9594.16,0.18
2018,Septiembre,27,Aruba,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,5940,9.27,27957.36,5.94
2018,Septiembre,200,Curazao,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,16440,9.27,28179.9,16.44
2018,Septiembre,580,Panamá,11,Bogotá,2008209000 - Las demás piñas tropicales (ananas) preparadas o conservadas de otro modo.,Piña,Piñas,KG,4272,7.82,23508.24,4.27
2018,Septiembre,105,Brasil,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,390,10.72,32234.61,0.39
2018,Septiembre,245,España,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,80,0.82,2459.57,0.08
2018,Septiembre,767,Suiza,76,Valle del Cauca,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,3318,4.99,15407.23,3.32
2018,Agosto,23,Alemania,11,Bogotá,0804300000 - Piñas tropicales (ananas)- frescas o secas.,Piña,Piñas,KG,168,2.62,7771.85,0.17
