Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,200,Curazao,11,Bogotá,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,720,0.84,2560.97,0.72
2018,Septiembre,27,Aruba,25,Cundinamarca,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,7100,9.75,29380.46,7.1
2018,Septiembre,87,Bélgica,5,Antioquia,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,23993,15.68,47317.03,23.99
2018,Septiembre,249,Estados Unidos,5,Antioquia,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,22752,13.44,41262.82,22.75
2018,Septiembre,249,Estados Unidos,11,Bogotá,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,2639.5,4.99,15086.43,2.64
2018,Septiembre,249,Estados Unidos,47,Magdalena,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,378000,214.25,651090.3,378
2018,Septiembre,573,Países Bajos,5,Antioquia,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,142575,95.1,286392.74,142.57
2018,Septiembre,628,Reino Unido,5,Antioquia,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,913501,586.35,1767774.36,913.5
2018,Septiembre,87,Bélgica,5,Antioquia,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,918264,459.11,1387449.36,918.26
2018,Septiembre,245,España,5,Antioquia,"0803101000 - ""PLATANOS """"PLANTAINS"""" FRESCOS.""",Productiva del Plátano,Bananos o plátanos,KG,372221,200.82,607748.2,372.22
