Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2018,Septiembre,169,Colombia,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,5.56,0.1,301.96,0.01
2018,Septiembre,249,Estados Unidos,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,19802.5,33.63,101769.09,19.8
2018,Septiembre,245,España,17,Caldas,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,1.8,0,4.22,0
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,14754.68,20.42,61665.69,14.75
2018,Septiembre,249,Estados Unidos,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,8315.62,11.76,35499.09,8.32
2018,Septiembre,169,Colombia,5,Antioquia,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,1.4,0.06,184.3,0
2018,Agosto,169,Colombia,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,2.82,0.08,238.29,0
2018,Agosto,493,México,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,198.9,0.29,882.17,0.2
2018,Agosto,249,Estados Unidos,15,Boyacá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,9988,14.86,43715.22,9.99
2018,Agosto,169,Colombia,5,Antioquia,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,2.3,0.1,293.76,0
2018,Julio,169,Colombia,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,2.64,0.08,230.41,0
2018,Julio,249,Estados Unidos,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,1800,2.86,8260.33,1.8
2018,Julio,249,Estados Unidos,76,Valle del Cauca,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,7132.63,9.56,27451.39,7.13
2018,Julio,249,Estados Unidos,11,Bogotá,"0714100000 - Raíces de mandioca (yuca)- frescas- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Yuca,Raíces y tubérculos,KG,7409.22,9.49,27602.65,7.41
